,url,datetime,header,rent_type,price,district,floor,address,owner,house_type,area,condition,bathroom,accommodations
2487,https://krisha.kz/a/show/29069963,2020-07-16 16:43:03,"2-комнатная квартира, 100 м², 12/20 этаж помесячно",квартира,350000,Медеуский р-н,,"Медеуский р-н, Назарбаева 223 — Ганди, Алматы",Хозяин,"монолитный, 2013 г.п.","100 м², кухня — 25 м²",евроремонт,2 с/у и более,полностью меблирована
2486,https://krisha.kz/a/show/58585721,2020-07-16 16:43:00,"3-комнатная квартира, 90 м², 4/18 этаж помесячно",квартира,200000,Алмалинский р-н,,"Алмалинский р-н, Брусиловского 159 — Кулымбетова, Алматы",Ануар Исатаев,"монолитный, 2017 г.п.",90 м²,евроремонт,совмещенный,полностью меблирована
2485,https://krisha.kz/a/show/25730720,2020-07-16 16:42:57,"3-комнатная квартира, 135 м², 4/6 этаж помесячно",квартира,500000,Бостандыкский р-н,,"Бостандыкский р-н, Ходжанова 10 — Ходжанова, Алматы",Хозяин,"монолитный, 2007 г.п.","135 м², кухня — 20 м²",евроремонт,2 с/у и более,полностью меблирована
2484,https://krisha.kz/a/show/50695767,2020-07-16 16:42:54,"3-комнатная квартира, 91 м², 6/7 этаж помесячно",квартира,550000,Медеуский р-н,,"Медеуский р-н, Кажымукана 59, Алматы",Хозяин,"монолитный, 2018 г.п.",91 м²,евроремонт,совмещенный,полностью меблирована
2483,https://krisha.kz/a/show/51692250,2020-07-16 16:42:51,"2-комнатная квартира, 70 м², 10/16 этаж помесячно",квартира,200000,Бостандыкский р-н,,"Бостандыкский р-н, Навои 208 — Рыскулбекова, Алматы",Хозяин,"монолитный, 2015 г.п.",70 м²,евроремонт,совмещенный,полностью меблирована
2482,https://krisha.kz/a/show/660552309,2020-07-16 16:42:48,"2-комнатная квартира, 54 м², 2/5 этаж помесячно",квартира,115000,Алмалинский р-н,,"Алмалинский р-н, мкр Тастак-2, Мкр Тастак-2 14, Алматы",Хозяин,"панельный, 1983 г.п.","54 м², кухня — 11 м²",среднее,раздельный,частично меблирована
2481,https://krisha.kz/a/show/660299499,2020-07-16 16:42:45,"3-комнатная квартира, 70 м², 2/3 этаж помесячно",квартира,170000,Медеуский р-н,,"Медеуский р-н, проспект Абая — Пушкина, Алматы",Apartamenty Almaty,"кирпичный, 1970 г.п.",70 м²,хорошее,раздельный,полностью меблирована
2480,https://krisha.kz/a/show/13079398,2020-07-16 16:42:42,"3-комнатная квартира, 67 м², 2/12 этаж помесячно",квартира,200000,Медеуский р-н,,"Медеуский р-н, мкр Самал-2, Бектурова 77 — Мендикулова, Алматы",Хозяин,"монолитный, 1987 г.п.","67 м², кухня — 9 м²",евроремонт,раздельный,полностью меблирована
2479,https://krisha.kz/a/show/58402580,2020-07-16 16:42:39,"3-комнатная квартира, 62 м², 1/4 этаж помесячно",квартира,130000,Алмалинский р-н,,"Алмалинский р-н, Наурызбай Батыра — Макатаева, Алматы",риэлторская группа КВАДРАТ,"панельный, 1980 г.п.","62 м², кухня — 6 м²",хорошее,совмещенный,частично меблирована
2478,https://krisha.kz/a/show/58538421,2020-07-16 16:42:36,"3-комнатная квартира, 140 м², 3/17 этаж помесячно",квартира,300000,Бостандыкский р-н,,"Бостандыкский р-н, Розыбакиева 289, Алматы",АГЕНТСТВО НЕДВИЖИМОСТИ FAVORIT,"монолитный, 2014 г.п.",140 м²,евроремонт,совмещенный,полностью меблирована
2477,https://krisha.kz/a/show/660557662,2020-07-16 16:42:32,"1-комнатная квартира, 41 м², 3/9 этаж помесячно",квартира,63000,Бостандыкский р-н,,"Бостандыкский р-н, мкр Орбита-3, Саина 28 — Торайгырова, Алматы",Хозяин,"панельный, 1988 г.п.","41 м², жилая — 18 м², кухня — 10 м²",хорошее,раздельный,полностью меблирована
